dealno,firmtype,ticker,announcement
3823621020,acq,FRME,2021-11-04
3823621020,tgt,LEVL,2021-11-04
3823635020,acq,OCFC,2021-11-04
3823635020,tgt,PTRS,2021-11-04
3823769020,acq,LITE,2021-11-04
3823769020,tgt,NPTN,2021-11-04
3827700020,acq,LMND,2021-11-08
3827700020,tgt,MILE,2021-11-08
3828445020,acq,QCRH,2021-11-09
3828445020,tgt,GFED,2021-11-09
3830910020,acq,GMED,2021-11-15
3830910020,tgt,NUVA,2021-11-15
3834296020,acq,SFNC,2021-11-19
3834296020,tgt,STXB,2021-11-19
3841873020,acq,JACK,2021-12-06
3841873020,tgt,TACO,2021-12-06
3845384020,acq,PFE,2021-12-13
3845384020,tgt,ARNA,2021-12-13
3845920020,acq,WTTR,2021-12-13
3845920020,tgt,NES,2021-12-13
3847595020,acq,ORCL,2021-12-20
3847595020,tgt,CERN,2021-12-20
