,Mkt-RF,SMB,HML,RF
19261202,    0.51,    0.00,    0.08,    0.01
19261203,    0.32,    0.02,   -0.04,    0.01
19261204,   -0.17,    0.18,    0.12,    0.01
19261206,    0.04,    0.30,   -0.34,    0.01
19261207,   -0.04,    0.34,   -0.50,    0.01
19261208,   -0.08,    0.23,    0.23,    0.01
19261209,    0.43,   -0.14,    0.44,    0.01
19261210,    0.35,   -0.15,    0.49,    0.01
19261211,    0.09,   -0.13,   -0.45,    0.01
19261213,    0.42,    0.62,    0.02,    0.01
19261214,    0.11,   -0.07,    0.12,    0.01
19261215,    0.15,   -0.20,    0.19,    0.01
19261216,   -0.61,   -0.19,    0.03,    0.01
19261217,    0.91,   -0.73,    0.64,    0.01
19261218,    0.42,   -0.23,    0.22,    0.01
19261220,   -0.31,    0.06,   -0.10,    0.01
19261221,   -0.03,   -0.39,   -0.18,    0.01
19261222,    0.01,   -0.24,   -0.45,    0.01
19261223,    0.29,    0.04,   -0.51,    0.01
19261224,    0.31,    0.21,    0.26,    0.01
19261227,   -0.22,   -0.19,   -0.33,    0.01
19261228,   -1.10,   -0.03,   -0.22,    0.01
19261229,    0.44,   -0.18,   -0.02,    0.01
19261230,   -0.35,    0.46,    0.07,    0.01
19261231,    0.34,    0.31,    0.65,    0.01
19270103,   -0.79,    0.19,    0.09,    0.01
19270104,    0.30,    0.14,   -0.66,    0.01
19270105,    0.14,    0.46,   -0.36,    0.01
19270106,   -0.18,   -0.05,    0.15,    0.01
19270107,    0.30,   -0.23,    0.41,    0.01
19270108,    0.39,   -0.14,    0.21,    0.01
19270110,    0.14,    0.09,    0.05,    0.01
19270111,   -0.29,   -0.33,    0.83,    0.01
19270112,    0.08,   -0.10,    0.09,    0.01
19270113,   -0.04,    0.18,   -0.28,    0.01
19270114,    0.05,   -0.81,    0.85,    0.01
19270115,    0.13,    0.10,    0.84,    0.01
19270117,   -0.03,   -0.11,    0.65,    0.01
19270118,   -0.06,   -0.24,    0.04,    0.01
19270119,    0.60,   -0.04,   -0.72,    0.01
19270120,   -0.18,   -0.27,    0.07,    0.01
19270121,   -0.01,    0.63,    1.25,    0.01
19270122,   -0.36,    0.24,    0.36,    0.01
19270124,   -0.48,    0.44,    1.49,    0.01
19270125,   -1.11,   -0.52,   -1.22,    0.01
19270126,    0.20,    0.14,    0.45,    0.01
19270127,   -0.35,   -0.01,   -0.40,    0.01
19270128,    0.16,    0.17,    0.74,    0.01
19270129,    0.74,   -0.38,   -0.33,    0.01
19270131,    0.61,    0.14,   -0.06,    0.01
19270201,   -0.01,    0.58,    1.04,    0.01
19270202,    0.69,   -0.19,    0.07,    0.01
19270203,    0.17,    0.23,   -0.09,    0.01
19270204,    0.36,    0.18,    1.28,    0.01
19270205,   -0.19,    0.30,    0.47,    0.01
19270207,   -0.13,    0.61,    0.48,    0.01
19270208,    0.10,    0.28,    0.89,    0.01
19270209,    0.02,   -0.88,   -0.56,    0.01
19270210,    0.09,    0.25,   -0.65,    0.01
19270211,    0.31,   -0.55,   -0.47,    0.01
19270214,    0.51,   -0.06,   -0.40,    0.01
19270215,    0.10,   -0.27,   -0.17,    0.01
19270216,   -0.02,    0.03,    1.50,    0.01
19270217,    0.24,    0.10,    0.81,    0.01
19270218,    0.32,   -0.73,   -0.12,    0.01
19270219,    0.02,    0.35,   -0.42,    0.01
19270221,   -0.16,    0.17,   -0.86,    0.01
19270223,    0.73,   -0.34,   -0.12,    0.01
19270224,    0.13,    0.31,    0.15,    0.01
19270225,    0.21,    0.26,   -0.37,    0.01
19270226,    0.07,   -0.18,   -0.06,    0.01
19270228,    0.56,   -0.37,    0.23,    0.01
19270301,   -0.40,   -0.05,   -0.51,    0.01
19270302,   -1.13,   -0.16,   -0.29,    0.01
19270303,    1.02,   -0.03,    0.02,    0.01
19270304,   -0.45,    0.21,   -0.15,    0.01
19270305,   -0.24,    0.58,   -0.43,    0.01
19270307,   -0.37,   -0.09,   -0.59,    0.01
19270308,    0.12,   -0.57,   -0.28,    0.01
19270309,    0.50,    0.21,    0.28,    0.01
19270310,    0.46,    0.12,    0.42,    0.01
19270311,    0.17,   -0.26,    0.25,    0.01
19270312,   -0.03,   -0.06,   -0.19,    0.01
19270314,    0.19,    0.08,   -0.84,    0.01
19270315,   -0.81,   -0.15,   -0.36,    0.01
19270316,    1.03,   -0.46,   -0.13,    0.01
19270317,    0.42,   -0.34,   -0.36,    0.01
19270318,   -0.79,    0.04,   -0.31,    0.01
19270319,    0.04,    0.00,   -0.20,    0.01
19270321,    0.18,   -0.55,    0.07,    0.01
19270322,   -1.06,    0.15,   -0.50,    0.01
19270323,    0.19,   -0.01,    0.52,    0.01
19270324,    0.68,   -0.03,    0.04,    0.01
19270325,    0.16,    0.44,   -0.32,    0.01
19270326,    0.34,    0.17,    0.13,    0.01
19270328,    0.52,   -0.24,    0.08,    0.01
19270329,   -0.22,   -0.11,   -0.38,    0.01
19270330,   -0.62,    0.14,    1.21,    0.01
19270331,    0.29,   -0.81,    0.48,    0.01
19270401,   -0.05,   -0.19,   -0.30,    0.01
19270402,   -0.08,    0.17,    0.05,    0.01
19270404,    0.53,   -0.19,    1.10,    0.01
19270405,    0.59,   -0.28,   -0.01,    0.01
19270406,    0.10,   -0.09,   -0.06,    0.01
19270407,    0.24,   -0.34,    0.30,    0.01
19270408,    0.31,    0.34,   -0.04,    0.01
19270409,    0.03,   -0.17,    0.36,    0.01
19270411,    0.19,    0.01,   -0.16,    0.01
19270412,   -0.30,    0.53,   -0.07,    0.01
19270413,    0.21,    0.08,   -1.06,    0.01
19270414,    0.09,    0.36,   -0.18,    0.01
19270416,    0.18,    0.55,    0.18,    0.01
19270418,   -0.03,   -0.18,    0.78,    0.01
19270419,    0.18,   -0.07,    0.31,    0.01
19270420,    0.27,   -0.34,    0.90,    0.01
19270421,    0.36,   -0.25,   -0.76,    0.01
19270422,    0.06,   -0.34,    0.04,    0.01
19270423,   -0.37,    0.21,    0.04,    0.01
19270425,   -1.56,    0.05,    0.15,    0.01
19270426,    0.58,    0.06,   -0.47,    0.01
19270427,   -0.38,    0.09,    0.17,    0.01
19270428,   -1.10,    0.14,   -0.28,    0.01
19270429,    0.48,    0.03,   -0.24,    0.01
19270430,   -0.02,    0.21,   -0.09,    0.01
19270502,    0.27,    0.22,    0.47,    0.01
19270503,    0.74,    0.02,   -0.65,    0.01
19270504,    0.78,   -0.15,    0.12,    0.01
19270505,    0.29,    0.32,   -0.31,    0.01
19270506,    0.28,   -0.12,    0.85,    0.01
19270507,    0.29,    0.25,   -0.44,    0.01
19270509,    0.20,    0.08,    0.39,    0.01
19270510,   -0.07,   -0.11,    0.12,    0.01
19270511,   -0.14,   -0.04,    0.05,    0.01
19270512,   -0.11,   -0.33,    0.37,    0.01
19270513,    0.49,   -0.09,   -0.27,    0.01
19270514,    0.03,    0.29,    0.03,    0.01
19270516,   -0.73,    0.52,   -0.16,    0.01
19270517,    0.47,    0.05,    0.26,    0.01
19270518,    0.51,   -0.57,    0.02,    0.01
19270519,    0.20,   -0.39,   -0.19,    0.01
19270520,    0.44,   -0.62,    0.46,    0.01
19270521,    0.23,    0.20,    0.06,    0.01
19270523,    0.15,    0.48,    0.77,    0.01
19270524,   -0.15,    0.32,    0.74,    0.01
19270525,    0.16,    0.71,    0.43,    0.01
19270526,    0.11,   -0.04,    0.49,    0.01
19270527,    0.45,    0.36,   -0.02,    0.01
19270528,    0.16,    0.67,    0.45,    0.01
19270531,    0.27,   -0.63,    0.42,    0.01
19270601,    0.32,   -0.01,    0.16,    0.01
19270602,    0.08,   -0.11,    0.29,    0.01
19270603,   -0.88,    0.18,   -0.66,    0.01
19270604,    0.43,    0.13,    0.18,    0.01
19270606,    0.51,    0.21,    1.16,    0.01
19270607,   -0.29,    0.55,   -0.18,    0.01
19270608,    0.27,   -0.12,    0.42,    0.01
19270609,    0.02,    0.20,   -0.78,    0.01
19270610,   -0.38,    0.11,   -0.32,    0.01
19270611,   -0.11,   -0.27,   -0.22,    0.01
19270614,   -1.50,   -0.01,   -0.64,    0.01
19270615,    0.88,    0.12,    0.20,    0.01
19270616,    0.62,   -0.34,   -0.21,    0.01
19270617,    0.16,    0.67,    0.95,    0.01
19270618,   -0.13,    0.19,    0.56,    0.01
19270620,   -0.18,    0.43,   -0.56,    0.01
19270621,   -0.34,   -0.28,    0.40,    0.01
19270622,   -0.02,    0.03,   -0.59,    0.01
19270623,   -0.86,   -0.44,   -0.81,    0.01
19270624,    0.13,    0.01,    0.21,    0.01
19270625,   -0.10,   -0.11,    0.12,    0.01
19270627,   -1.21,   -0.59,   -0.58,    0.01
19270628,    0.27,   -0.02,   -0.18,    0.01
19270629,    0.03,    0.08,   -0.42,    0.01
19270630,   -0.09,   -0.07,   -0.19,    0.01
19270701,    0.65,    0.02,   -0.11,    0.01
19270702,    0.56,    0.28,    0.16,    0.01
19270705,    0.84,   -0.42,    0.15,    0.01
19270706,    0.61,    0.22,   -0.05,    0.01
19270707,   -0.25,    0.14,   -0.03,    0.01
19270708,   -0.19,   -0.40,    0.13,    0.01
19270709,    0.17,    0.20,   -0.11,    0.01
19270711,    0.39,   -0.52,    0.31,    0.01
19270712,    0.33,   -0.39,    0.49,    0.01
19270713,    0.27,    0.18,   -0.12,    0.01
19270714,    0.42,   -0.04,   -0.81,    0.01
19270715,    0.26,    0.00,   -0.36,    0.01
19270716,    0.16,    0.12,    0.16,    0.01
19270718,    0.18,   -0.15,    0.05,    0.01
19270719,    0.26,   -0.16,    0.39,    0.01
19270720,    0.44,    0.12,   -0.75,    0.01
19270721,   -0.04,    0.12,   -0.52,    0.01
19270722,   -0.05,   -0.09,   -0.25,    0.01
19270723,    0.17,    0.16,    0.17,    0.01
19270725,    0.41,   -0.36,    0.05,    0.01
19270726,    0.25,   -0.27,   -0.18,    0.01
19270727,    0.07,   -0.53,   -0.06,    0.01
19270728,    0.14,   -0.27,   -0.21,    0.01
19270729,    0.50,   -0.28,    0.24,    0.01
19270730,    0.47,   -0.77,    0.22,    0.01
19270801,    0.54,   -0.22,    0.08,    0.01
19270802,    0.62,   -0.40,   -0.28,    0.01
19270803,   -0.65,    0.45,   -0.46,    0.01
19270804,    0.93,   -0.30,    0.11,    0.01
19270805,   -0.60,    0.32,   -0.41,    0.01
19270806,   -0.11,    0.09,   -0.35,    0.01
19270808,   -1.08,    0.62,   -0.53,    0.01
19270809,    0.93,   -0.16,    0.47,    0.01
19270810,    0.23,   -0.06,   -0.32,    0.01
19270811,   -1.02,   -0.46,   -0.27,    0.01
19270812,   -1.56,   -0.39,   -0.95,    0.01
19270813,    0.89,   -0.23,    0.13,    0.01
19270815,    1.25,   -0.03,    0.88,    0.01
19270816,    0.62,    0.04,    0.08,    0.01
19270817,    0.32,    0.51,   -0.15,    0.01
19270818,    0.03,   -0.24,    0.02,    0.01
19270819,    0.15,    0.21,   -0.29,    0.01
19270820,    0.35,    0.04,   -0.35,    0.01
19270822,    0.35,   -0.19,    0.14,    0.01
19270823,    0.05,   -0.02,    0.11,    0.01
19270824,    0.20,    0.03,   -0.23,    0.01
19270825,    0.02,   -0.16,   -0.78,    0.01
19270826,    0.23,   -0.28,   -0.04,    0.01
19270827,   -0.11,    0.32,   -0.13,    0.01
19270829,   -0.03,    0.02,    0.32,    0.01
19270830,   -0.03,   -0.30,   -0.72,    0.01
19270831,   -0.49,    0.04,    0.19,    0.01
19270901,    0.80,   -0.11,   -0.38,    0.01
19270902,    0.58,    0.00,    0.25,    0.01
19270903,    0.50,   -0.13,   -0.33,    0.01
19270906,    0.91,   -0.64,    0.24,    0.01
19270907,    0.45,   -0.36,    0.26,    0.01
19270908,    0.01,   -0.09,    0.17,    0.01
19270909,   -0.63,   -0.01,   -0.59,    0.01
19270910,    0.44,   -0.08,    0.24,    0.01
19270912,   -0.36,    0.39,   -0.31,    0.01
19270913,    1.27,   -0.75,   -0.24,    0.01
19270914,    0.31,   -0.20,   -0.22,    0.01
19270915,    0.25,   -0.18,   -0.02,    0.01
19270916,    0.08,   -0.35,    0.11,    0.01
19270917,   -0.28,    0.23,   -0.21,    0.01
19270919,   -0.32,   -0.32,   -0.03,    0.01
19270920,    0.51,    0.09,    0.41,    0.01
19270921,   -0.12,    0.22,   -0.03,    0.01
19270922,   -1.12,    0.08,   -0.44,    0.01
19270923,    0.49,   -0.08,    0.15,    0.01
19270924,    0.65,   -0.34,   -0.17,    0.01
19270926,   -0.95,    0.12,    0.03,    0.01
19270927,    0.23,   -0.50,    0.05,    0.01
19270928,   -0.38,   -0.06,    0.48,    0.01
19270929,    0.16,   -0.12,    0.01,    0.01
19270930,    1.24,   -0.31,    0.02,    0.01
19271001,    0.49,   -0.06,    0.23,    0.01
19271003,    0.25,   -0.23,    0.58,    0.01
19271004,   -0.39,    0.29,   -1.26,    0.01
19271005,   -0.29,    0.03,   -0.21,    0.01
19271006,    0.24,   -0.07,    0.57,    0.01
19271007,   -0.74,    0.51,   -0.76,    0.01
19271008,   -0.33,   -0.13,    0.21,    0.01
19271010,   -0.51,   -0.30,   -0.38,    0.01
19271011,    0.04,    0.26,   -0.11,    0.01
19271013,    0.69,    0.00,   -0.87,    0.01
19271014,   -0.01,    0.68,   -0.01,    0.01
19271015,    0.02,    0.40,    0.10,    0.01
19271017,   -1.26,    0.02,   -0.27,    0.01
19271018,    0.34,   -0.54,   -0.10,    0.01
19271019,   -0.81,    0.20,    0.44,    0.01
19271020,   -1.01,   -0.10,    0.24,    0.01
19271021,   -0.76,    0.82,   -0.81,    0.01
19271022,   -0.70,   -0.02,    0.31,    0.01
19271024,    0.37,   -0.10,   -0.44,    0.01
19271025,    1.59,   -0.21,   -0.74,    0.01
19271026,    0.05,    0.67,    0.09,    0.01
19271027,   -0.41,    0.35,   -0.17,    0.01
19271028,   -1.45,    0.21,   -0.98,    0.01
19271029,   -0.49,   -0.55,    0.01,    0.01
19271031,    0.76,   -0.06,   -0.32,    0.01
19271101,   -0.01,    0.09,    0.15,    0.01
19271102,    1.00,   -0.53,   -0.17,    0.01
19271103,    1.12,   -0.36,    0.25,    0.01
19271104,   -0.03,    0.21,    0.12,    0.01
19271105,    0.56,    0.02,   -0.01,    0.01
19271107,    0.68,    0.34,   -0.28,    0.01
19271109,   -0.78,    0.37,   -0.43,    0.01
