,Mkt-RF,SMB,HML,RF
19400502,    0.47,    0.46,    0.13,    0.00
19400503,    0.10,    0.05,   -0.38,    0.00
19400504,   -0.18,   -0.34,    0.30,    0.00
19400506,   -0.11,   -0.16,   -0.17,    0.00
19400507,    0.14,   -0.19,   -0.05,    0.00
19400508,    0.09,   -0.05,    0.26,    0.00
19400509,    0.23,    0.05,    0.43,    0.00
19400510,   -2.55,   -1.12,   -0.62,    0.00
19400511,    0.11,    0.15,    0.17,    0.00
19400513,   -5.59,   -4.04,   -1.26,    0.00
19400514,   -7.21,   -3.39,   -0.25,    0.00
19400515,    0.46,   -1.83,   -3.28,    0.00
19400516,    1.49,    3.79,    0.43,    0.00
19400517,   -4.39,   -1.63,    0.05,    0.00
19400518,   -1.94,   -0.38,   -2.23,    0.00
19400520,    0.47,    1.80,    1.21,    0.00
19400521,   -6.99,   -5.11,   -1.07,    0.00
19400522,    0.16,    2.01,    0.05,    0.00
19400523,    0.32,   -0.37,    1.35,    0.00
19400524,   -0.20,    0.87,    0.69,    0.00
19400525,    1.17,    1.47,    0.16,    0.00
19400527,    1.72,    1.32,    0.48,    0.00
19400528,   -2.40,   -2.04,   -0.62,    0.00
19400529,    1.35,    1.57,    1.11,    0.00
19400531,    0.42,    0.50,   -1.12,    0.00
19400601,   -0.29,    0.02,    0.27,    0.00
19400603,   -1.06,   -0.06,    0.43,    0.00
19400604,    0.96,    0.12,   -0.05,    0.00
19400605,   -1.65,   -0.93,   -0.39,    0.00
19400606,    1.10,    0.18,   -0.48,    0.00
19400607,    1.06,    0.35,    1.13,    0.00
19400608,   -0.17,    0.03,   -0.37,    0.00
19400610,   -2.94,   -0.99,    1.13,    0.00
19400611,    3.80,    1.18,   -1.33,    0.00
19400612,    4.81,    1.32,    1.68,    0.00
19400613,   -1.63,   -0.36,   -1.10,    0.00
19400614,    1.87,    0.52,    0.21,    0.00
19400615,    0.84,    0.04,    0.72,    0.00
19400617,   -0.66,   -1.82,   -0.92,    0.00
19400618,    0.58,    1.03,    1.31,    0.00
19400619,    0.35,   -0.81,   -0.31,    0.00
19400620,   -0.70,    0.10,    0.47,    0.00
19400621,    0.02,   -0.04,    0.25,    0.00
19400622,    0.44,   -0.30,    0.52,    0.00
19400624,    0.82,   -0.68,    0.14,    0.00
19400625,   -2.36,   -0.37,    0.40,    0.00
19400626,   -0.66,   -1.12,   -0.07,    0.00
19400627,    1.06,    0.23,    0.76,    0.00
19400628,    1.29,    0.63,    0.46,    0.00
19400629,   -0.07,   -0.12,   -0.19,    0.00
19400701,   -0.59,    0.21,    0.09,    0.00
19400702,   -0.15,    0.16,   -0.24,    0.00
19400703,    0.20,    0.05,   -0.03,    0.00
19400705,    0.48,    0.27,   -0.12,    0.00
19400706,    0.22,   -0.37,    0.83,    0.00
19400708,   -0.20,   -0.13,   -0.47,    0.00
19400709,   -0.17,   -0.26,    0.52,    0.00
19400710,    0.05,   -0.01,    0.03,    0.00
19400711,    0.07,    0.23,   -0.01,    0.00
19400712,   -0.08,    0.05,   -0.47,    0.00
19400713,    0.07,    0.07,    0.19,    0.00
19400715,    0.33,    0.14,   -0.25,    0.00
19400716,    0.99,    0.34,    0.10,    0.00
19400717,   -0.22,    0.32,   -0.65,    0.00
19400718,    0.14,   -0.32,   -0.22,    0.00
19400719,   -0.64,    0.44,    0.01,    0.00
19400720,   -0.21,    0.07,   -0.14,    0.00
19400722,   -0.05,   -0.17,    0.30,    0.00
19400723,    0.07,   -0.41,    0.04,    0.00
19400724,   -0.44,    0.08,    0.01,    0.00
19400725,    0.06,   -0.23,   -0.14,    0.00
19400726,    0.37,   -0.06,    0.14,    0.00
19400727,    0.19,    0.24,   -0.15,    0.00
19400729,    0.52,   -0.59,    0.18,    0.00
19400730,    2.20,    0.16,    0.39,    0.00
19400731,   -0.06,    0.67,   -0.63,    0.00
19400801,   -0.10,    0.16,   -0.51,    0.00
19400802,    0.02,   -0.05,   -0.10,    0.00
19400803,    0.08,    0.09,    0.23,    0.00
19400805,   -0.12,   -0.20,   -0.44,    0.00
19400806,   -0.75,    0.02,    0.25,    0.00
19400807,   -0.17,   -0.27,    0.03,    0.00
19400808,    0.13,   -0.02,   -0.46,    0.00
19400809,    0.64,   -0.27,    0.25,    0.00
19400810,    0.58,   -0.12,    0.00,    0.00
19400812,    0.20,   -0.67,    0.02,    0.00
19400813,   -3.16,    0.42,   -0.69,    0.00
19400814,   -0.37,    0.00,    0.12,    0.00
19400815,    0.60,    0.23,   -0.17,    0.00
19400816,   -1.41,   -0.02,    0.23,    0.00
19400817,    0.71,   -0.17,    0.15,    0.00
19400819,    0.02,   -0.02,   -0.17,    0.00
19400820,    0.97,   -0.67,    0.29,    0.00
19400821,    1.37,    0.15,   -0.27,    0.00
19400822,    0.83,    0.40,    0.04,    0.00
19400823,   -1.07,    0.07,   -0.46,    0.00
19400824,    0.19,   -0.11,    0.17,    0.00
19400826,    0.06,   -0.12,   -0.13,    0.00
19400827,   -0.12,    0.00,    0.27,    0.00
19400828,    1.21,    0.08,    0.76,    0.00
19400829,   -0.18,   -0.06,   -0.19,    0.00
19400830,    1.60,    0.31,    0.79,    0.00
19400831,    0.56,    0.68,    0.61,    0.00
19400903,    0.32,    0.55,    0.20,    0.00
19400904,    1.65,   -0.32,    0.19,    0.00
19400905,    1.70,    1.11,    0.95,    0.00
19400906,   -0.41,    0.29,   -0.67,    0.00
19400907,   -0.16,   -0.01,    0.18,    0.00
19400909,   -2.36,   -0.94,   -0.75,    0.00
19400910,   -0.10,    0.20,   -0.49,    0.00
19400911,   -0.53,    0.40,   -0.18,    0.00
19400912,   -1.13,   -0.14,   -0.86,    0.00
19400913,    0.09,   -0.20,    0.34,    0.00
19400914,    0.56,   -0.05,    0.35,    0.00
19400916,    0.65,    0.05,    0.13,    0.00
19400917,    0.77,   -0.26,    0.06,    0.00
19400918,    0.67,    0.21,   -0.04,    0.00
19400919,   -0.07,    0.22,    0.05,    0.00
19400920,    0.01,    0.00,   -0.39,    0.00
19400921,    0.61,    0.60,    0.62,    0.00
19400923,    1.94,    0.79,    0.86,    0.00
19400924,   -0.24,    0.26,   -0.59,    0.00
19400925,   -0.14,    0.01,   -0.12,    0.00
19400926,   -0.54,   -0.17,   -0.59,    0.00
19400927,   -1.57,   -0.08,   -1.53,    0.00
19400928,    0.63,    0.32,    0.54,    0.00
19400930,    0.15,    0.35,    0.79,    0.00
19401001,    1.23,    0.26,    0.47,    0.00
19401002,    0.42,    0.29,    1.24,    0.00
19401003,    0.11,    0.41,   -0.38,    0.00
19401004,   -0.63,   -0.41,   -0.24,    0.00
19401005,    0.09,   -0.01,    0.16,    0.00
19401007,   -0.45,    0.21,    0.06,    0.00
19401008,   -1.39,   -0.39,   -0.64,    0.00
19401009,   -0.54,   -0.23,    0.05,    0.00
19401010,   -0.05,    0.35,    0.24,    0.00
19401011,    0.52,   -0.15,   -0.01,    0.00
19401014,   -0.28,    0.77,    0.06,    0.00
19401015,    0.45,   -1.31,   -0.06,    0.00
19401016,    0.53,    0.77,    0.01,    0.00
19401017,    0.50,   -0.22,    0.42,    0.00
19401018,    0.04,    0.09,    0.79,    0.00
19401019,   -0.11,    0.24,   -0.15,    0.00
19401021,   -0.53,    0.27,    0.16,    0.00
19401022,    0.44,   -0.33,    0.42,    0.00
19401023,    0.61,    0.29,    0.35,    0.00
19401024,   -0.54,   -0.08,    0.02,    0.00
19401025,   -0.04,   -0.16,    0.48,    0.00
19401026,    0.81,   -0.10,    0.05,    0.00
19401028,   -0.28,   -0.24,   -0.18,    0.00
19401029,    0.25,    0.08,    0.09,    0.00
19401030,    0.64,   -0.41,    0.34,    0.00
19401031,    1.24,    0.41,    0.77,    0.00
19401101,    0.10,    0.39,   -0.13,    0.00
19401102,    0.34,   -0.59,    0.28,    0.00
19401104,    0.27,   -0.15,   -0.16,    0.00
19401106,   -2.82,    0.86,   -1.84,    0.00
19401107,    4.74,    1.38,    3.09,    0.00
19401108,   -0.58,    0.47,    0.03,    0.00
19401109,    1.37,    0.70,    0.61,    0.00
19401112,   -0.44,   -0.20,    0.21,    0.00
19401113,   -0.41,   -0.05,    0.20,    0.00
19401114,    0.48,   -0.09,    0.79,    0.00
19401115,   -1.00,   -0.03,   -0.50,    0.00
19401116,   -0.73,   -0.34,   -0.32,    0.00
19401118,   -0.03,    0.20,   -0.11,    0.00
19401119,   -0.08,   -0.18,   -0.13,    0.00
19401120,   -1.78,   -0.15,   -1.03,    0.00
19401122,    0.17,    0.16,    0.82,    0.00
19401123,   -0.02,   -0.04,    0.24,    0.00
19401125,   -0.01,   -0.07,    0.03,    0.00
19401126,   -0.28,    0.12,   -0.48,    0.00
19401127,   -1.62,   -0.39,   -1.48,    0.00
19401128,    0.23,    0.25,    0.71,    0.00
19401129,    0.12,   -0.45,    0.12,    0.00
19401130,    0.56,    0.24,   -0.45,    0.00
19401202,   -0.04,    0.28,   -0.22,    0.00
19401203,   -0.28,   -0.18,   -0.53,    0.00
19401204,    0.02,   -0.13,   -0.62,    0.00
19401205,   -0.29,   -0.37,    0.10,    0.00
19401206,    0.24,   -0.20,   -0.03,    0.00
19401207,    0.73,    0.33,    0.03,    0.00
19401209,    0.13,    0.05,   -0.31,    0.00
19401210,   -0.06,   -0.22,   -0.20,    0.00
19401211,    0.29,    0.22,    0.36,    0.00
19401212,    0.26,   -0.23,    0.16,    0.00
19401213,    0.21,    0.07,    0.92,    0.00
19401214,    0.01,   -0.31,   -0.26,    0.00
19401216,   -0.79,   -0.25,   -0.57,    0.00
19401217,   -0.42,   -0.37,   -0.23,    0.00
19401218,   -0.70,   -0.13,   -0.41,    0.00
19401219,   -0.36,   -0.42,    0.06,    0.00
19401220,    0.06,    0.08,   -0.18,    0.00
19401221,    0.10,    0.04,    0.28,    0.00
19401223,   -0.38,    0.46,   -0.28,    0.00
19401224,    0.42,   -0.72,    0.41,    0.00
19401226,   -0.10,    0.28,   -0.40,    0.00
19401227,    0.37,   -0.65,    0.37,    0.00
19401228,    0.36,   -0.02,   -0.04,    0.00
19401230,    0.62,    0.05,    0.23,    0.00
19401231,    0.31,    0.20,    0.47,    0.00
19410102,   -0.34,    0.89,    0.35,    0.00
19410103,    1.25,   -0.47,    0.88,    0.00
19410104,    0.24,    0.85,    0.30,    0.00
19410106,    0.32,    0.74,    0.02,    0.00
19410107,   -0.14,   -0.16,   -0.30,    0.00
19410108,    0.28,    0.00,    1.21,    0.00
19410109,    0.50,   -0.25,    1.78,    0.00
19410110,    0.21,    0.60,   -0.09,    0.00
19410111,   -0.19,    0.10,   -0.27,    0.00
19410113,   -0.12,    0.09,    0.09,    0.00
19410114,   -0.46,   -0.37,    0.00,    0.00
19410115,   -0.57,    0.44,   -0.25,    0.00
19410116,   -1.26,   -0.05,   -0.65,    0.00
19410117,   -0.16,   -0.69,    0.52,    0.00
19410118,    0.02,    0.48,    0.04,    0.00
19410120,   -0.27,    0.51,   -0.41,    0.00
19410121,   -0.80,   -0.51,    0.56,    0.00
19410122,    0.47,   -0.19,    0.86,    0.00
19410123,   -0.01,    0.30,    0.07,    0.00
19410124,    0.19,   -0.15,    0.00,    0.00
19410125,    0.25,   -0.15,    0.12,    0.00
19410127,    0.02,    0.16,    0.24,    0.00
19410128,   -0.45,    0.00,   -0.20,    0.00
19410129,   -1.73,   -0.03,   -0.76,    0.00
19410130,   -1.53,   -0.96,   -0.89,    0.00
19410131,    0.06,   -0.14,    0.81,    0.00
19410201,   -0.56,   -0.20,   -0.68,    0.00
19410203,   -0.55,   -0.25,   -0.51,    0.00
19410204,   -0.10,   -0.12,    1.07,    0.00
19410205,    1.46,    0.11,    0.95,    0.00
19410206,    0.38,    0.23,   -0.12,    0.00
19410207,   -0.16,   -0.11,   -0.16,    0.00
19410208,    0.20,    0.16,   -0.31,    0.00
19410210,   -0.21,    0.22,    0.39,    0.00
19410211,   -1.11,    0.19,   -0.97,    0.00
19410213,   -1.38,   -1.28,    0.08,    0.00
19410214,   -2.71,   -0.65,   -0.58,    0.00
19410215,    0.45,   -0.28,    0.26,    0.00
19410217,    0.52,    0.44,    0.33,    0.00
19410218,   -0.30,   -0.15,   -0.11,    0.00
19410219,   -1.00,   -0.67,   -0.40,    0.00
19410220,    1.63,    0.52,    0.71,    0.00
19410221,    0.50,   -0.01,    0.24,    0.00
19410224,    0.85,   -0.35,    0.06,    0.00
19410225,    0.63,    0.07,   -0.52,    0.00
19410226,    0.06,    0.64,    0.28,    0.00
19410227,   -0.34,   -0.30,    0.35,    0.00
19410228,    0.38,    0.29,    0.64,    0.00
19410301,   -0.22,    0.53,   -0.32,    0.00
19410303,   -0.84,   -0.25,   -0.55,    0.00
19410304,    0.39,   -0.40,    0.67,    0.00
19410305,   -0.34,    0.76,    0.05,    0.00
19410306,    1.34,   -0.54,    0.43,    0.00
19410307,   -0.23,    0.64,   -0.41,    0.00
19410308,    0.04,   -0.21,    0.47,    0.00
19410310,    1.65,    0.60,    0.24,    0.00
19410311,   -0.42,    0.44,   -0.34,    0.00
19410312,   -0.10,   -0.20,   -0.09,    0.00
19410313,   -0.38,    0.18,   -0.17,    0.00
19410314,    0.10,   -0.14,    0.18,    0.00
19410315,    0.59,    0.26,    0.63,    0.00
19410317,    0.01,   -0.05,    0.14,    0.00
19410318,    0.18,   -0.07,    0.23,    0.00
19410319,   -0.21,    0.27,    0.01,    0.00
19410320,   -0.01,   -0.44,    0.38,    0.00
19410321,   -0.76,    0.00,   -0.63,    0.00
19410322,   -0.44,   -0.13,   -0.05,    0.00
19410324,    0.32,   -0.58,    0.66,    0.00
19410325,    0.22,   -0.35,    0.32,    0.00
19410326,   -0.18,    0.10,    0.28,    0.00
19410327,    0.61,   -0.30,    0.35,    0.00
19410328,   -0.59,    0.46,   -0.66,    0.00
19410329,   -0.08,   -0.23,    0.60,    0.00
19410331,    0.24,   -0.26,    0.60,    0.00
19410401,    0.18,    0.04,    0.37,    0.00
19410402,    0.22,   -0.23,   -0.02,    0.00
19410403,    1.37,   -0.07,    2.03,    0.00
19410404,   -0.03,    0.43,   -0.02,    0.00
19410405,   -0.31,    0.05,   -0.34,    0.00
19410407,   -0.47,   -0.38,   -0.19,    0.00
19410408,   -1.96,   -0.44,   -1.78,    0.00
19410409,   -1.10,   -0.25,   -0.13,    0.00
19410410,   -0.16,    0.12,   -0.12,    0.00
19410412,   -0.94,   -0.16,    0.24,    0.00
19410414,    0.21,   -0.21,    0.50,    0.00
19410415,   -0.33,    0.25,   -0.47,    0.00
19410416,    0.05,   -0.61,    0.45,    0.00
19410417,   -0.17,    0.29,    0.10,    0.00
19410418,   -1.37,   -0.13,   -0.61,    0.00
19410419,   -0.28,   -0.46,    0.38,    0.00
19410421,   -0.24,   -0.60,    0.47,    0.00
19410422,   -0.25,    0.16,    0.06,    0.00
19410423,    0.61,   -0.59,    1.04,    0.00
19410424,    0.72,    0.45,    0.84,    0.00
19410425,   -0.62,    0.05,   -0.15,    0.00
19410426,   -0.02,    0.27,    0.36,    0.00
19410428,    0.15,   -0.12,    0.23,    0.00
19410429,    0.30,    0.03,    0.86,    0.00
19410430,   -1.09,    0.35,   -0.39,    0.00
19410501,   -0.10,   -0.11,   -0.07,    0.00
19410502,    0.43,   -0.07,    0.87,    0.00
19410503,    0.22,   -0.18,    0.76,    0.00
19410505,   -0.05,   -0.05,    0.33,    0.00
19410506,    1.49,    0.18,    1.35,    0.00
19410507,   -0.34,    0.35,   -0.89,    0.00
19410508,   -0.05,   -0.56,    0.25,    0.00
19410509,    0.11,    0.25,   -0.06,    0.00
19410510,    0.98,   -0.24,    1.11,    0.00
19410512,   -0.26,   -0.08,   -0.42,    0.00
19410513,   -0.06,   -0.20,   -0.54,    0.00
19410514,   -0.24,   -0.14,   -0.67,    0.00
19410515,   -1.24,    0.76,   -1.04,    0.00
19410516,    0.21,   -1.04,    0.25,    0.00
19410517,    0.28,    0.07,    0.44,    0.00
19410519,    0.04,   -0.20,   -0.25,    0.00
19410520,    1.20,   -0.86,    0.42,    0.00
19410521,    0.22,    0.55,   -0.06,    0.00
19410522,   -0.96,    0.12,   -0.33,    0.00
19410523,    0.02,   -0.20,    0.23,    0.00
19410524,    0.09,    0.00,    0.01,    0.00
19410526,   -0.94,    0.39,   -0.33,    0.00
19410527,    0.41,   -0.18,   -0.23,    0.00
19410528,    0.11,    0.02,    0.08,    0.00
19410529,    0.09,    0.17,   -0.01,    0.00
19410531,   -0.29,    0.62,   -0.51,    0.00
19410602,    0.33,   -0.27,   -0.14,    0.00
19410603,    0.95,   -0.65,    0.38,    0.00
19410604,    0.35,    0.04,    0.15,    0.00
19410605,    0.49,    0.44,   -0.20,    0.00
19410606,   -0.16,   -0.18,   -0.11,    0.00
19410607,    0.61,    0.12,   -0.13,    0.00
19410609,    0.86,    0.08,   -0.29,    0.00
19410610,    1.43,    0.50,    0.16,    0.00
19410611,    0.09,    0.43,   -0.23,    0.00
19410612,    0.53,   -0.22,    0.31,    0.00
19410613,   -0.26,    0.22,   -0.40,    0.00
19410614,   -0.16,    0.39,    0.20,    0.00
19410616,   -0.19,    0.17,   -0.32,    0.00
19410617,    0.64,    0.08,   -0.14,    0.00
19410618,    0.29,    0.17,    0.07,    0.00
19410619,   -0.19,   -0.17,    0.14,    0.00
19410620,   -0.87,    0.37,   -0.18,    0.00
19410621,    0.18,   -0.12,    0.22,    0.00
19410623,    1.29,    0.18,    0.33,    0.00
19410624,   -0.46,   -0.24,    0.40,    0.00
19410625,    0.19,   -0.25,    0.28,    0.00
19410626,    0.48,    0.04,    0.30,    0.00
19410627,   -0.37,   -0.05,   -0.04,    0.00
19410628,   -0.06,    0.05,   -0.21,    0.00
19410630,   -0.28,    0.11,    0.03,    0.00
19410701,   -0.23,   -0.07,   -0.23,    0.00
19410702,    0.70,   -0.63,    0.22,    0.00
19410703,    0.44,   -0.23,    0.84,    0.00
19410705,    0.19,    0.42,    0.27,    0.00
19410707,    1.40,    0.20,    0.37,    0.00
19410708,    1.52,    1.06,    0.41,    0.00
19410709,    0.03,    0.90,   -0.66,    0.00
19410710,    0.06,    0.16,    0.32,    0.00
19410711,    0.13,    0.38,    0.38,    0.00
19410712,    0.04,    0.13,   -0.08,    0.00
19410714,    0.17,   -0.18,    1.00,    0.00
19410715,    0.20,    0.25,   -0.02,    0.00
19410716,   -0.41,   -0.24,   -0.35,    0.00
19410717,   -0.60,    0.22,   -0.41,    0.00
19410718,    0.25,   -0.22,   -0.26,    0.00
19410719,    0.34,    0.19,    0.05,    0.00
19410721,    1.34,    0.09,    1.96,    0.00
19410722,   -0.01,    0.10,    0.37,    0.00
19410723,   -0.13,    0.22,    0.22,    0.00
19410724,   -0.27,    0.54,    0.13,    0.00
19410725,   -0.16,    0.41,   -0.04,    0.00
19410726,    0.48,    0.34,    0.93,    0.00
19410728,    0.83,    0.98,    1.01,    0.00
19410729,   -0.32,   -0.15,   -0.42,    0.00
19410730,   -0.19,    0.01,    0.61,    0.00
19410731,   -0.07,    0.38,   -0.01,    0.00
19410801,   -0.27,   -0.09,    0.53,    0.00
19410802,   -0.05,    0.53,   -0.84,    0.00
19410804,    0.15,   -0.37,    0.22,    0.00
19410805,   -0.10,   -0.47,   -0.24,    0.00
19410806,   -0.01,    0.18,   -0.35,    0.00
19410807,    0.03,   -0.11,   -0.05,    0.00
19410808,   -0.65,    0.09,   -0.34,    0.00
19410809,   -0.69,   -0.28,   -0.51,    0.00
19410811,   -0.38,   -0.86,   -0.54,    0.00
19410812,   -0.13,    0.01,    0.38,    0.00
19410813,   -0.09,    0.34,   -0.27,    0.00
19410814,    0.20,   -0.17,    1.08,    0.00
19410815,   -0.76,    0.10,   -0.47,    0.00
19410816,    0.21,   -0.36,    0.34,    0.00
19410818,    0.41,    0.33,    0.08,    0.00
19410819,    0.04,    0.06,   -0.09,    0.00
19410820,    0.45,   -0.12,    0.62,    0.00
19410821,    0.01,    0.31,    0.11,    0.00
19410822,   -0.04,   -0.04,   -0.47,    0.00
19410823,    0.06,    0.02,    0.00,    0.00
19410825,    0.08,   -0.20,   -0.17,    0.00
19410826,    0.57,    0.30,   -0.15,    0.00
19410827,    0.19,   -0.13,    0.23,    0.00
19410828,    0.33,    0.19,   -0.41,    0.00
19410829,    0.07,    0.15,    0.03,    0.00
19410830,    0.23,    0.17,    0.20,    0.00
19410902,    0.30,   -0.21,   -0.27,    0.00
19410903,   -0.34,   -0.04,   -0.03,    0.00
19410904,   -0.12,    0.03,   -0.40,    0.00
19410905,   -0.12,    0.35,    0.15,    0.00
19410906,    0.10,    0.13,   -0.12,    0.00
19410908,    0.18,    0.18,    0.17,    0.00
19410909,   -0.28,   -0.29,   -0.33,    0.00
19410910,   -0.58,    0.22,   -0.17,    0.00
19410911,    0.60,   -0.26,    1.24,    0.00
19410912,    0.12,    0.21,    0.01,    0.00
19410913,    0.11,    0.05,   -0.02,    0.00
19410915,    0.05,    0.04,    0.01,    0.00
19410916,    0.22,   -0.02,    0.06,    0.00
19410917,    1.36,   -0.02,    0.05,    0.00
19410918,   -0.39,    0.45,    0.19,    0.00
19410919,   -0.82,   -0.15,   -0.99,    0.00
19410920,   -0.35,    0.03,   -0.52,    0.00
19410922,    0.22,   -0.51,    0.42,    0.00
19410923,    0.32,   -0.35,    0.13,    0.00
19410924,   -0.48,    0.25,   -0.57,    0.00
19410925,   -1.49,   -1.44,   -0.49,    0.00
19410926,   -0.38,   -0.09,    0.33,    0.00
19410927,    0.35,    0.16,    0.58,    0.00
19410929,    0.08,    0.22,    0.20,    0.00
19410930,    0.50,    0.09,    0.14,    0.00
19411001,   -0.01,   -0.10,   -0.14,    0.00
19411002,   -0.26,    0.34,    0.30,    0.00
19411003,   -0.16,   -0.31,    0.38,    0.00
19411004,    0.14,   -0.14,    0.26,    0.00
19411006,   -0.17,    0.04,   -0.18,    0.00
19411007,   -1.10,   -0.38,   -0.46,    0.00
19411008,   -0.05,   -0.16,   -0.04,    0.00
19411009,   -1.26,   -0.51,   -0.85,    0.00
19411010,   -0.01,   -0.04,    0.41,    0.00
19411011,    0.08,    0.14,    0.79,    0.00
19411014,   -0.46,   -0.29,   -0.56,    0.00
19411015,   -0.52,    0.01,    0.02,    0.00
19411016,   -1.67,   -0.73,   -0.78,    0.00
19411017,    0.33,   -0.51,    0.26,    0.00
19411018,    0.95,    0.51,    0.82,    0.00
19411020,    0.07,   -0.07,    0.23,    0.00
19411021,    0.76,   -0.03,    0.25,    0.00
19411022,   -0.44,    0.27,   -0.38,    0.00
19411023,    0.33,   -0.35,    0.97,    0.00
19411024,    0.52,    0.33,    0.09,    0.00
19411025,   -0.29,    0.43,   -0.37,    0.00
19411027,   -0.88,   -0.27,   -0.19,    0.00
19411028,    0.03,    0.10,    0.52,    0.00
19411029,   -0.24,   -0.23,    0.13,    0.00
19411030,   -0.10,    0.13,    0.61,    0.00
19411031,   -0.95,   -0.28,   -0.32,    0.00
19411101,    0.31,    0.09,    0.38,    0.00
19411103,    0.47,   -0.59,    0.26,    0.00
19411105,    0.70,   -0.36,    0.62,    0.00
19411106,   -0.76,   -0.08,   -0.36,    0.00
19411107,   -0.19,    0.52,   -0.45,    0.00
19411108,    0.08,   -0.19,    0.03,    0.00
19411110,   -0.59,    0.07,   -0.84,    0.00
19411112,   -1.67,   -0.32,   -0.67,    0.00
19411113,    0.08,   -0.72,    0.44,    0.00
19411114,    0.78,   -0.23,    0.07,    0.00
19411115,    0.14,    0.29,    0.42,    0.00
19411117,   -0.20,   -0.23,   -0.20,    0.00
19411118,   -0.12,   -0.11,    0.03,    0.00
19411119,    0.46,    0.10,    0.22,    0.00
19411121,    0.56,    0.24,    0.81,    0.00
19411122,    0.16,    0.05,   -0.27,    0.00
19411124,    0.19,    0.06,    0.21,    0.00
19411125,   -0.52,   -0.32,   -0.39,    0.00
19411126,   -0.77,    0.18,   -0.73,    0.00
19411127,   -0.23,    0.17,   -0.18,    0.00
19411128,   -0.58,   -0.12,   -0.26,    0.00
19411129,   -0.23,    0.38,    0.29,    0.00
19411201,   -0.35,   -0.14,    0.13,    0.00
19411202,    1.53,   -0.79,    0.27,    0.00
19411203,    0.82,   -0.55,   -0.29,    0.00
19411204,    0.29,    0.32,    0.12,    0.00
19411205,   -0.37,   -0.14,   -0.37,    0.00
19411206,    0.58,   -0.05,   -0.29,    0.00
19411208,   -4.15,   -1.81,   -2.84,    0.00
19411209,   -3.49,   -2.31,   -3.78,    0.00
19411210,   -0.71,   -0.09,   -0.09,    0.00
19411211,    1.95,    1.55,    1.63,    0.00
19411212,   -0.36,    1.14,   -0.68,    0.00
19411213,    0.30,    0.31,   -0.23,    0.00
19411215,    0.51,   -0.37,    0.52,    0.00
19411216,   -0.07,   -0.11,    0.86,    0.00
19411217,   -1.81,   -0.39,   -0.52,    0.00
19411218,   -0.83,   -0.60,    0.73,    0.00
19411219,   -0.02,    0.43,    0.77,    0.00
19411220,   -0.19,    0.12,   -0.15,    0.00
19411222,   -0.95,    0.39,   -0.52,    0.00
19411223,   -0.41,   -0.12,    0.10,    0.00
19411224,    0.30,    0.23,   -0.15,    0.00
19411226,   -0.45,   -0.23,   -0.29,    0.00
19411227,    0.44,    0.15,    0.31,    0.00
19411229,   -0.48,   -0.89,   -0.88,    0.00
19411230,    3.65,   -0.26,    0.81,    0.00
19411231,   -0.46,    1.44,   -1.20,    0.00
19420102,    1.87,    1.89,    2.52,    0.00
19420103,    1.21,    1.54,    1.10,    0.00
19420105,    1.00,    0.28,   -0.54,    0.00
19420106,   -0.40,    0.38,   -1.01,    0.00
19420107,   -0.66,    0.34,    0.94,    0.00
19420108,   -1.36,    1.05,    0.54,    0.00
19420109,   -0.24,    0.95,    1.13,    0.00
19420110,   -0.47,    0.14,   -0.01,    0.00
19420112,    0.42,    0.08,    0.62,    0.00
19420113,    1.71,   -0.60,    0.46,    0.00
19420114,    0.24,    0.31,    0.00,    0.00
19420115,   -0.13,    0.06,    0.11,    0.00
19420116,   -0.90,    0.44,   -0.01,    0.00
19420117,   -0.31,   -0.07,    0.58,    0.00
19420119,    0.27,    0.00,    0.96,    0.00
19420120,   -0.11,    0.14,    0.91,    0.00
19420121,   -1.30,   -0.38,   -0.58,    0.00
19420122,    0.01,    0.04,    0.02,    0.00
19420123,    0.15,    0.02,    0.66,    0.00
19420124,    0.34,    0.07,    0.60,    0.00
19420126,    0.98,    0.05,    0.93,    0.00
19420127,    0.13,    0.42,   -0.21,    0.00
19420128,   -0.46,   -0.04,   -0.05,    0.00
19420129,   -0.11,    0.04,    0.22,    0.00
19420130,   -0.55,    0.20,    0.05,    0.00
19420131,   -0.45,   -0.22,   -0.31,    0.00
19420202,    0.33,   -0.19,   -0.10,    0.00
19420203,    0.31,   -0.27,    0.05,    0.00
19420204,    0.63,    0.20,    0.61,    0.00
19420205,   -0.17,    0.39,    0.39,    0.00
19420206,   -0.83,    0.45,   -0.28,    0.00
19420207,    0.02,   -0.11,    0.11,    0.00
19420209,   -1.11,    0.02,   -0.85,    0.00
19420210,   -1.42,   -0.68,   -1.33,    0.00
19420211,   -0.21,   -0.08,    0.30,    0.00
19420213,    0.09,    0.44,   -0.07,    0.00
19420214,    0.52,   -0.04,    0.51,    0.00
19420216,   -0.23,    0.06,    0.20,    0.00
19420217,   -1.64,    0.52,   -0.65,    0.00
19420218,   -0.02,    0.06,    0.07,    0.00
19420219,    0.28,    0.16,    0.27,    0.00
19420220,   -0.27,    0.48,    0.17,    0.00
19420221,    0.23,    0.08,   -0.22,    0.00
19420224,    0.25,    0.11,    0.14,    0.00
19420225,   -0.55,    0.33,    0.02,    0.00
19420226,    0.43,   -0.26,    0.07,    0.00
19420227,    0.76,   -0.17,   -0.18,    0.00
19420228,    0.15,    0.23,   -0.29,    0.00
